GameID,Season,TeamID,Score,Result,Round
279,2019,1101,44,loss,Round 1
1,2015,1214,74,win,PlayIn
2,2015,1279,94,win,PlayIn
245,2018,1104,58,loss,Round 2
30,2015,1107,60,loss,Round 1
3,2015,1173,56,win,PlayIn
62,2015,1112,78,loss,Elite Eight
4,2015,1352,81,win,PlayIn
5,2015,1112,93,win,Round 1
86,2016,1112,55,loss,Round 1
6,2015,1116,56,win,Round 1
190,2017,1112,71,loss,Sweet Sixteen
7,2015,1139,56,win,Round 1
207,2018,1112,68,loss,Round 1
8,2015,1153,66,win,Round 1
204,2018,1113,56,loss,PlayIn
9,2015,1207,84,win,Round 1
289,2019,1113,74,loss,Round 1
107,2016,1114,61,loss,Round 2
10,2015,1209,57,win,Round 1
11,2015,1246,79,win,Round 1
40,2015,1116,78,loss,Round 2
12,2015,1301,66,win,Round 1
183,2017,1116,65,loss,Round 2
223,2018,1116,62,loss,Round 1
13,2015,1314,67,win,Round 1
246,2018,1120,53,loss,Round 2
14,2015,1323,69,win,Round 1
15,2015,1326,75,win,Round 1
334,2019,1120,62,loss,Final Four
16,2015,1412,60,win,Round 1
79,2016,1122,79,loss,Round 1
10,2015,1124,56,loss,Round 1
17,2015,1417,60,win,Round 1
87,2016,1124,75,loss,Round 1
18,2015,1428,57,win,Round 1
194,2017,1124,50,loss,Sweet Sixteen
19,2015,1437,93,win,Round 1
20,2015,1462,76,win,Round 1
307,2019,1124,71,loss,Round 2
33,2015,1125,67,loss,Round 1
21,2015,1173,66,win,Round 1
281,2019,1125,77,loss,Round 1
22,2015,1181,85,win,Round 1
3,2015,1129,55,loss,PlayIn
23,2015,1211,86,win,Round 1
24,2015,1234,83,win,Round 1
283,2019,1133,65,loss,Round 1
25,2015,1242,75,win,Round 1
152,2017,1137,80,loss,Round 1
26,2015,1257,57,win,Round 1
229,2018,1137,78,loss,Round 1
34,2015,1138,62,loss,Round 1
27,2015,1268,65,win,Round 1
28,2015,1277,70,win,Round 1
81,2016,1138,72,loss,Round 1
29,2015,1320,71,win,Round 1
241,2018,1138,75,loss,Round 2
30,2015,1328,69,win,Round 1
318,2019,1138,58,loss,Round 2
31,2015,1332,79,win,Round 1
41,2015,1139,64,loss,Round 2
111,2016,1139,69,loss,Round 2
32,2015,1361,76,win,Round 1
33,2015,1438,79,win,Round 1
193,2017,1139,80,loss,Sweet Sixteen
250,2018,1139,73,loss,Round 2
34,2015,1452,68,win,Round 1
2,2015,1140,90,loss,PlayIn
35,2015,1455,81,win,Round 1
88,2016,1143,66,loss,Round 1
36,2015,1458,86,win,Round 1
37,2015,1112,73,win,Round 2
77,2016,1151,74,loss,Round 1
38,2015,1153,51,loss,Round 2
38,2015,1246,64,win,Round 2
97,2016,1153,76,loss,Round 1
39,2015,1301,71,win,Round 2
186,2017,1153,67,loss,Round 2
40,2015,1314,87,win,Round 2
41,2015,1323,67,win,Round 2
249,2018,1153,73,loss,Round 2
42,2015,1417,92,win,Round 2
292,2019,1153,72,loss,Round 1
259,2018,1155,76,loss,Sweet Sixteen
43,2015,1428,75,win,Round 2
36,2015,1157,72,loss,Round 1
44,2015,1462,75,win,Round 2
222,2018,1158,58,loss,Round 1
45,2015,1181,68,win,Round 2
298,2019,1159,70,loss,Round 1
46,2015,1211,87,win,Round 2
74,2016,1160,67,loss,Round 1
47,2015,1257,66,win,Round 2
108,2016,1163,61,loss,Round 2
48,2015,1277,60,win,Round 2
49,2015,1328,72,win,Round 2
166,2017,1166,72,loss,Round 1
227,2018,1166,59,loss,Round 1
50,2015,1452,69,win,Round 2
94,2016,1167,68,loss,Round 1
51,2015,1455,78,win,Round 2
52,2015,1458,72,win,Round 2
232,2018,1168,48,loss,Round 1
24,2015,1172,52,loss,Round 1
53,2015,1112,68,win,Sweet Sixteen
213,2018,1172,73,loss,Round 1
54,2015,1246,78,win,Sweet Sixteen
49,2015,1173,66,loss,Round 2
55,2015,1323,81,win,Sweet Sixteen
98,2016,1173,51,loss,Round 1
56,2015,1458,79,win,Sweet Sixteen
57,2015,1181,63,win,Sweet Sixteen
170,2017,1173,58,loss,Round 1
58,2015,1211,74,win,Sweet Sixteen
122,2016,1181,68,loss,Sweet Sixteen
185,2017,1181,81,loss,Round 2
59,2015,1257,75,win,Sweet Sixteen
60,2015,1277,62,win,Sweet Sixteen
264,2018,1181,81,loss,Elite Eight
332,2019,1181,67,loss,Elite Eight
61,2015,1246,68,win,Elite Eight
62,2015,1458,85,win,Elite Eight
9,2015,1186,74,loss,Round 1
63,2015,1181,66,win,Elite Eight
141,2017,1190,65,loss,Round 1
68,2016,1192,65,loss,PlayIn
64,2015,1277,76,win,Elite Eight
277,2019,1192,49,loss,Round 1
65,2015,1181,81,win,Final Four
82,2016,1195,67,loss,Round 1
66,2015,1458,71,win,Final Four
67,2015,1181,68,win,National Final
142,2017,1195,80,loss,Round 1
198,2017,1196,70,loss,Elite Eight
68,2016,1195,96,win,PlayIn
244,2018,1196,66,loss,Round 2
69,2016,1455,70,win,PlayIn
310,2019,1196,49,loss,Round 2
70,2016,1221,59,win,PlayIn
178,2017,1199,66,loss,Round 2
71,2016,1276,67,win,PlayIn
263,2018,1199,54,loss,Elite Eight
72,2016,1114,85,win,Round 1
73,2016,1139,71,win,Round 1
321,2019,1199,58,loss,Sweet Sixteen
74,2016,1163,74,win,Round 1
84,2016,1201,69,loss,Round 1
302,2019,1205,56,loss,Round 1
75,2016,1181,93,win,Round 1
76,2016,1211,68,win,Round 1
43,2015,1207,64,loss,Round 2
77,2016,1231,99,win,Round 1
28,2015,1208,63,loss,Round 1
78,2016,1235,94,win,Round 1
44,2015,1209,67,loss,Round 2
79,2016,1242,105,win,Round 1
224,2018,1209,53,loss,Round 1
291,2019,1209,55,loss,Round 1
80,2016,1246,85,win,Round 1
81,2016,1274,79,win,Round 1
63,2015,1211,52,loss,Elite Eight
126,2016,1211,60,loss,Sweet Sixteen
82,2016,1314,83,win,Round 1
201,2017,1211,65,loss,National Final
83,2016,1344,70,win,Round 1
254,2018,1211,60,loss,Sweet Sixteen
84,2016,1428,80,win,Round 1
329,2019,1211,69,loss,Elite Eight
85,2016,1438,81,win,Round 1
11,2015,1214,56,loss,Round 1
86,2016,1455,65,win,Round 1
85,2016,1214,45,loss,Round 1
87,2016,1463,79,win,Round 1
88,2016,1218,77,win,Round 1
13,2015,1217,65,loss,Round 1
112,2016,1218,60,loss,Round 2
89,2016,1234,72,win,Round 1
90,2016,1268,79,win,Round 1
95,2016,1221,52,loss,Round 1
243,2018,1222,63,loss,Round 2
91,2016,1292,90,win,Round 1
327,2019,1222,58,loss,Sweet Sixteen
92,2016,1320,75,win,Round 1
93,2016,1323,70,win,Round 1
35,2015,1231,76,loss,Round 1
124,2016,1231,86,loss,Sweet Sixteen
94,2016,1328,82,win,Round 1
95,2016,1332,91,win,Round 1
78,2016,1233,81,loss,Round 1
165,2017,1233,77,loss,Round 1
96,2016,1372,70,win,Round 1
97,2016,1386,78,win,Round 1
208,2018,1233,67,loss,Round 1
294,2019,1233,73,loss,Round 1
98,2016,1393,70,win,Round 1
99,2016,1401,92,win,Round 1
46,2015,1234,68,loss,Round 2
118,2016,1234,68,loss,Round 2
100,2016,1433,75,win,Round 1
317,2019,1234,77,loss,Round 2
101,2016,1437,86,win,Round 1
102,2016,1458,47,win,Round 1
16,2015,1235,59,loss,Round 1
103,2016,1462,71,win,Round 1
127,2016,1235,71,loss,Sweet Sixteen
175,2017,1235,76,loss,Round 2
104,2016,1181,71,win,Round 2
295,2019,1235,59,loss,Round 1
105,2016,1211,82,win,Round 2
106,2016,1231,73,win,Round 2
161,2017,1240,63,loss,Round 1
107,2016,1235,78,win,Round 2
51,2015,1242,65,loss,Round 2
108,2016,1242,73,win,Round 2
129,2016,1242,59,loss,Elite Eight
109,2016,1274,65,win,Round 2
196,2017,1242,60,loss,Elite Eight
267,2018,1242,79,loss,Final Four
110,2016,1314,85,win,Round 2
111,2016,1438,77,win,Round 2
305,2019,1242,75,loss,Round 2
157,2017,1243,61,loss,Round 1
112,2016,1268,73,win,Round 2
113,2016,1323,76,win,Round 2
262,2018,1243,62,loss,Elite Eight
114,2016,1328,85,win,Round 2
300,2019,1243,64,loss,Round 1
115,2016,1332,69,win,Round 2
168,2017,1245,80,loss,Round 1
116,2016,1393,75,win,Round 2
66,2015,1246,64,loss,Final Four
117,2016,1401,92,win,Round 2
106,2016,1246,67,loss,Round 2
118,2016,1437,87,win,Round 2
197,2017,1246,73,loss,Elite Eight
119,2016,1458,66,win,Round 2
255,2018,1246,58,loss,Sweet Sixteen
120,2016,1242,79,win,Sweet Sixteen
331,2019,1246,71,loss,Elite Eight
19,2015,1248,52,loss,Round 1
121,2016,1328,77,win,Sweet Sixteen
122,2016,1332,82,win,Sweet Sixteen
320,2019,1251,58,loss,Round 2
123,2016,1437,92,win,Sweet Sixteen
231,2018,1252,66,loss,Round 1
124,2016,1314,101,win,Sweet Sixteen
202,2018,1254,61,loss,PlayIn
125,2016,1323,61,win,Sweet Sixteen
64,2015,1257,70,loss,Elite Eight
182,2017,1257,69,loss,Round 2
126,2016,1393,63,win,Sweet Sixteen
284,2019,1257,76,loss,Round 1
127,2016,1438,84,win,Sweet Sixteen
128,2016,1328,80,win,Elite Eight
266,2018,1260,57,loss,Final Four
129,2016,1437,64,win,Elite Eight
12,2015,1261,65,loss,Round 1
328,2019,1261,63,loss,Sweet Sixteen
130,2016,1314,88,win,Elite Eight
1,2015,1264,64,loss,PlayIn
131,2016,1393,68,win,Elite Eight
167,2017,1266,73,loss,Round 1
132,2016,1314,83,win,Final Four
285,2019,1266,64,loss,Round 1
133,2016,1437,95,win,Final Four
253,2018,1267,71,loss,Round 2
134,2016,1437,77,win,National Final
50,2015,1268,59,loss,Round 2
135,2017,1243,95,win,PlayIn
136,2017,1291,67,win,PlayIn
120,2016,1268,63,loss,Sweet Sixteen
137,2017,1413,67,win,PlayIn
154,2017,1268,65,loss,Round 1
309,2019,1268,67,loss,Round 2
138,2017,1425,75,win,PlayIn
139,2017,1112,100,win,Round 1
123,2016,1274,69,loss,Sweet Sixteen
140,2017,1139,76,win,Round 1
163,2017,1274,58,loss,Round 1
214,2018,1274,62,loss,Round 1
141,2017,1196,80,win,Round 1
142,2017,1199,86,win,Round 1
93,2016,1276,63,loss,Round 1
143,2017,1211,66,win,Round 1
189,2017,1276,68,loss,Sweet Sixteen
268,2018,1276,62,loss,National Final
144,2017,1235,84,win,Round 1
323,2019,1276,44,loss,Sweet Sixteen
145,2017,1292,81,win,Round 1
65,2015,1277,61,loss,Final Four
146,2017,1321,68,win,Round 1
147,2017,1323,60,win,Round 1
91,2016,1277,81,loss,Round 1
148,2017,1345,80,win,Round 1
180,2017,1277,70,loss,Round 2
251,2018,1277,53,loss,Round 2
149,2017,1388,85,win,Round 1
333,2019,1277,51,loss,Final Four
150,2017,1437,76,win,Round 1
145,2017,1278,72,loss,Round 1
151,2017,1438,76,win,Round 1
311,2019,1278,50,loss,Round 2
152,2017,1452,86,win,Round 1
153,2017,1458,84,win,Round 1
20,2015,1279,57,loss,Round 1
296,2019,1279,72,loss,Round 1
154,2017,1462,76,win,Round 1
155,2017,1116,77,win,Round 1
293,2019,1280,76,loss,Round 1
226,2018,1281,54,loss,Round 1
156,2017,1124,91,win,Round 1
215,2018,1285,47,loss,Round 1
157,2017,1153,75,win,Round 1
158,2017,1181,87,win,Round 1
282,2019,1285,55,loss,Round 1
159,2017,1242,100,win,Round 1
150,2017,1291,56,loss,Round 1
116,2016,1292,50,loss,Round 2
160,2017,1246,79,win,Round 1
172,2017,1292,65,loss,Round 2
161,2017,1257,78,win,Round 1
236,2018,1293,68,loss,Round 1
162,2017,1276,92,win,Round 1
163,2017,1277,78,win,Round 1
306,2019,1293,62,loss,Round 2
164,2017,1314,103,win,Round 1
23,2015,1295,76,loss,Round 1
290,2019,1295,62,loss,Round 1
165,2017,1332,93,win,Round 1
166,2017,1348,84,win,Round 1
160,2017,1297,70,loss,Round 1
299,2019,1297,57,loss,Round 1
167,2017,1376,93,win,Round 1
137,2017,1300,63,loss,PlayIn
168,2017,1417,97,win,Round 1
205,2018,1300,46,loss,PlayIn
169,2017,1425,66,win,Round 1
272,2019,1300,74,loss,PlayIn
170,2017,1455,64,win,Round 1
59,2015,1301,65,loss,Sweet Sixteen
171,2017,1112,69,win,Round 2
218,2018,1301,83,loss,Round 1
172,2017,1139,74,win,Round 2
144,2017,1305,73,loss,Round 1
173,2017,1196,65,win,Round 2
174,2017,1211,79,win,Round 2
256,2018,1305,68,loss,Sweet Sixteen
275,2019,1305,61,loss,Round 1
175,2017,1345,80,win,Round 2
25,2015,1308,56,loss,Round 1
176,2017,1452,83,win,Round 2
156,2017,1308,73,loss,Round 1
177,2017,1458,65,win,Round 2
225,2018,1308,68,loss,Round 1
178,2017,1462,91,win,Round 2
179,2017,1124,82,win,Round 2
273,2019,1308,77,loss,Round 1
180,2017,1242,90,win,Round 2
136,2017,1309,66,loss,PlayIn
181,2017,1246,65,win,Round 2
56,2015,1314,72,loss,Sweet Sixteen
134,2016,1314,74,loss,National Final
182,2017,1276,73,win,Round 2
252,2018,1314,65,loss,Round 2
183,2017,1314,72,win,Round 2
184,2017,1332,75,win,Round 2
325,2019,1314,80,loss,Sweet Sixteen
185,2017,1376,88,win,Round 2
139,2017,1315,82,loss,Round 1
186,2017,1417,79,win,Round 2
4,2015,1316,77,loss,PlayIn
14,2015,1318,65,loss,Round 1
187,2017,1211,61,win,Sweet Sixteen
278,2019,1318,53,loss,Round 1
188,2017,1242,98,win,Sweet Sixteen
189,2017,1332,69,win,Sweet Sixteen
47,2015,1320,53,loss,Round 2
190,2017,1462,73,win,Sweet Sixteen
117,2016,1320,88,loss,Round 2
174,2017,1321,73,loss,Round 2
191,2017,1196,84,win,Sweet Sixteen
61,2015,1323,66,loss,Elite Eight
192,2017,1246,86,win,Sweet Sixteen
193,2017,1314,92,win,Sweet Sixteen
130,2016,1323,74,loss,Elite Eight
194,2017,1376,70,win,Sweet Sixteen
176,2017,1323,71,loss,Round 2
37,2015,1326,58,loss,Round 2
195,2017,1211,83,win,Elite Eight
196,2017,1332,74,win,Elite Eight
239,2018,1326,84,loss,Round 2
197,2017,1314,75,win,Elite Eight
314,2019,1326,59,loss,Round 2
198,2017,1376,77,win,Elite Eight
60,2015,1328,58,loss,Sweet Sixteen
199,2017,1211,77,win,Final Four
133,2016,1328,51,loss,Final Four
200,2017,1314,77,win,Final Four
217,2018,1328,78,loss,Round 1
319,2019,1328,51,loss,Round 2
201,2017,1314,71,win,National Final
31,2015,1329,73,loss,Round 1
202,2018,1347,71,win,PlayIn
162,2017,1329,91,loss,Round 1
203,2018,1382,65,win,PlayIn
204,2018,1393,60,win,PlayIn
286,2019,1330,48,loss,Round 1
205,2018,1411,64,win,PlayIn
52,2015,1332,65,loss,Round 2
128,2016,1332,68,loss,Elite Eight
206,2018,1104,86,win,Round 1
200,2017,1332,76,loss,Final Four
207,2018,1138,89,win,Round 1
208,2018,1181,89,win,Round 1
324,2019,1332,49,loss,Sweet Sixteen
209,2018,1196,77,win,Round 1
100,2016,1333,67,loss,Round 1
210,2018,1211,68,win,Round 1
212,2018,1335,60,loss,Round 1
102,2016,1338,43,loss,Round 1
211,2018,1222,67,win,Round 1
270,2019,1341,76,loss,PlayIn
212,2018,1242,76,win,Round 1
213,2018,1246,78,win,Round 1
147,2017,1343,58,loss,Round 1
21,2015,1344,53,loss,Round 1
214,2018,1260,64,win,Round 1
215,2018,1276,61,win,Round 1
110,2016,1344,66,loss,Round 2
216,2018,1326,81,win,Round 1
138,2017,1344,71,loss,PlayIn
234,2018,1344,69,loss,Round 1
217,2018,1348,83,win,Round 1
8,2015,1345,65,loss,Round 1
218,2018,1371,94,win,Round 1
72,2016,1345,83,loss,Round 1
219,2018,1397,73,win,Round 1
220,2018,1403,70,win,Round 1
188,2017,1345,66,loss,Sweet Sixteen
221,2018,1437,87,win,Round 1
260,2018,1345,65,loss,Sweet Sixteen
222,2018,1120,62,win,Round 1
330,2019,1345,75,loss,Elite Eight
223,2018,1139,79,win,Round 1
221,2018,1347,61,loss,Round 1
184,2017,1348,72,loss,Round 2
224,2018,1153,68,win,Round 1
225,2018,1155,79,win,Round 1
238,2018,1348,62,loss,Round 2
22,2015,1352,56,loss,Round 1
226,2018,1199,67,win,Round 1
90,2016,1355,74,loss,Round 1
227,2018,1243,69,win,Round 1
228,2018,1267,81,win,Round 1
143,2017,1355,46,loss,Round 1
229,2018,1277,82,win,Round 1
216,2018,1355,73,loss,Round 1
45,2015,1361,49,loss,Round 2
230,2018,1305,87,win,Round 1
231,2018,1314,84,win,Round 1
211,2018,1361,65,loss,Round 1
76,2016,1371,52,loss,Round 1
232,2018,1345,74,win,Round 1
155,2017,1371,71,loss,Round 1
233,2018,1393,57,win,Round 1
234,2018,1401,73,win,Round 1
240,2018,1371,79,loss,Round 2
235,2018,1420,74,win,Round 1
288,2019,1371,68,loss,Round 1
18,2015,1372,50,loss,Round 1
236,2018,1452,85,win,Round 1
237,2018,1462,102,win,Round 1
113,2016,1372,75,loss,Round 2
238,2018,1181,87,win,Round 2
220,2018,1372,60,loss,Round 1
17,2015,1374,59,loss,Round 1
239,2018,1211,90,win,Round 2
240,2018,1242,83,win,Round 2
169,2017,1374,65,loss,Round 1
199,2017,1376,73,loss,Final Four
241,2018,1246,95,win,Round 2
70,2016,1380,55,loss,PlayIn
242,2018,1260,63,win,Round 2
243,2018,1276,64,win,Round 2
209,2018,1382,62,loss,Round 1
244,2018,1403,69,win,Round 2
32,2015,1385,64,loss,Round 1
245,2018,1437,81,win,Round 2
271,2019,1385,65,loss,PlayIn
246,2018,1155,84,win,Round 2
115,2016,1386,64,loss,Round 2
247,2018,1199,75,win,Round 2
303,2019,1387,52,loss,Round 1
171,2017,1388,60,loss,Round 2
248,2018,1243,50,win,Round 2
287,2019,1388,57,loss,Round 1
249,2018,1305,75,win,Round 2
250,2018,1345,76,win,Round 2
80,2016,1392,57,loss,Round 1
132,2016,1393,66,loss,Final Four
251,2018,1393,55,win,Round 2
252,2018,1401,86,win,Round 2
258,2018,1393,65,loss,Sweet Sixteen
253,2018,1452,94,win,Round 2
274,2019,1393,69,loss,Round 1
233,2018,1395,52,loss,Round 1
254,2018,1199,75,win,Sweet Sixteen
89,2016,1396,70,loss,Round 1
255,2018,1243,61,win,Sweet Sixteen
269,2019,1396,70,loss,PlayIn
256,2018,1260,69,win,Sweet Sixteen
257,2018,1276,99,win,Sweet Sixteen
242,2018,1397,62,loss,Round 2
322,2019,1397,94,loss,Sweet Sixteen
258,2018,1181,69,win,Sweet Sixteen
7,2015,1400,48,loss,Round 1
259,2018,1242,80,win,Sweet Sixteen
260,2018,1403,78,win,Sweet Sixteen
92,2016,1400,72,loss,Round 1
261,2018,1437,90,win,Sweet Sixteen
230,2018,1400,83,loss,Round 1
262,2018,1260,78,win,Elite Eight
121,2016,1401,63,loss,Sweet Sixteen
263,2018,1276,58,win,Elite Eight
257,2018,1401,72,loss,Sweet Sixteen
73,2016,1403,61,loss,Round 1
264,2018,1242,85,win,Elite Eight
265,2018,1403,59,loss,Elite Eight
265,2018,1437,71,win,Elite Eight
335,2019,1403,77,loss,National Final
266,2018,1276,69,win,Final Four
267,2018,1437,95,win,Final Four
158,2017,1407,65,loss,Round 1
71,2016,1409,62,loss,PlayIn
268,2018,1437,79,win,National Final
269,2019,1125,81,win,PlayIn
5,2015,1411,72,loss,Round 1
164,2017,1411,64,loss,Round 1
270,2019,1192,82,win,PlayIn
271,2019,1113,74,win,PlayIn
237,2018,1411,83,loss,Round 1
272,2019,1295,78,win,PlayIn
42,2015,1412,75,loss,Round 2
159,2017,1413,62,loss,Round 1
273,2019,1120,78,win,Round 1
26,2015,1414,55,loss,Round 1
274,2019,1124,78,win,Round 1
316,2019,1414,54,loss,Round 2
275,2019,1196,70,win,Round 1
313,2019,1416,76,loss,Round 2
276,2019,1199,76,win,Round 1
277,2019,1211,87,win,Round 1
58,2015,1417,62,loss,Sweet Sixteen
192,2017,1417,75,loss,Sweet Sixteen
278,2019,1242,87,win,Round 1
203,2018,1417,58,loss,PlayIn
279,2019,1246,79,win,Round 1
280,2019,1261,79,win,Round 1
248,2018,1420,43,loss,Round 2
101,2016,1421,56,loss,Round 1
281,2019,1268,79,win,Round 1
210,2018,1422,64,loss,Round 1
282,2019,1276,74,win,Round 1
283,2019,1277,76,win,Round 1
75,2016,1423,85,loss,Round 1
151,2017,1423,71,loss,Round 1
284,2019,1278,86,win,Round 1
285,2019,1293,83,win,Round 1
83,2016,1425,69,loss,Round 1
286,2019,1345,61,win,Round 1
179,2017,1425,78,loss,Round 2
57,2015,1428,57,loss,Sweet Sixteen
287,2019,1437,61,win,Round 1
105,2016,1428,59,loss,Round 2
288,2019,1459,84,win,Round 1
304,2019,1429,61,loss,Round 1
289,2019,1138,91,win,Round 1
15,2015,1433,72,loss,Round 1
290,2019,1181,85,win,Round 1
114,2016,1433,81,loss,Round 2
291,2019,1222,84,win,Round 1
292,2019,1234,79,win,Round 1
149,2017,1433,77,loss,Round 1
301,2019,1433,58,loss,Round 1
293,2019,1251,80,win,Round 1
27,2015,1434,62,loss,Round 1
294,2019,1314,88,win,Round 1
69,2016,1435,50,loss,PlayIn
295,2019,1326,62,win,Round 1
146,2017,1435,66,loss,Round 1
296,2019,1328,95,win,Round 1
297,2019,1332,72,win,Round 1
148,2017,1436,70,loss,Round 1
276,2019,1436,69,loss,Round 1
298,2019,1397,77,win,Round 1
39,2015,1437,68,loss,Round 2
299,2019,1403,72,win,Round 1
300,2019,1414,70,win,Round 1
177,2017,1437,62,loss,Round 2
301,2019,1416,73,win,Round 1
312,2019,1437,61,loss,Round 2
48,2015,1438,54,loss,Round 2
302,2019,1438,71,win,Round 1
303,2019,1439,66,win,Round 1
131,2016,1438,62,loss,Elite Eight
304,2019,1449,78,win,Round 1
173,2017,1438,39,loss,Round 2
235,2018,1438,54,loss,Round 1
305,2019,1120,89,win,Round 2
153,2017,1439,74,loss,Round 1
306,2019,1199,90,win,Round 2
206,2018,1439,83,loss,Round 1
307,2019,1211,83,win,Round 2
326,2019,1439,73,loss,Sweet Sixteen
308,2019,1246,62,win,Round 2
309,2019,1261,69,win,Round 2
135,2017,1448,88,loss,PlayIn
310,2019,1276,64,win,Round 2
315,2019,1449,59,loss,Round 2
311,2019,1277,70,win,Round 2
103,2016,1451,53,loss,Round 1
54,2015,1452,39,loss,Sweet Sixteen
312,2019,1345,87,win,Round 2
313,2019,1181,77,win,Round 2
96,2016,1452,56,loss,Round 1
314,2019,1222,74,win,Round 2
187,2017,1452,58,loss,Sweet Sixteen
261,2018,1452,78,loss,Sweet Sixteen
315,2019,1314,81,win,Round 2
316,2019,1332,73,win,Round 2
99,2016,1453,65,loss,Round 1
317,2019,1397,83,win,Round 2
55,2015,1455,70,loss,Sweet Sixteen
109,2016,1455,57,loss,Round 2
318,2019,1403,78,win,Round 2
319,2019,1438,63,win,Round 2
181,2017,1455,62,loss,Round 2
228,2018,1455,75,loss,Round 1
320,2019,1439,67,win,Round 2
321,2019,1211,72,win,Sweet Sixteen
140,2017,1457,64,loss,Round 1
67,2015,1458,63,loss,National Final
322,2019,1345,99,win,Sweet Sixteen
323,2019,1403,63,win,Sweet Sixteen
125,2016,1458,56,loss,Sweet Sixteen
324,2019,1438,53,win,Sweet Sixteen
191,2017,1458,83,loss,Sweet Sixteen
297,2019,1458,54,loss,Round 1
325,2019,1120,97,win,Sweet Sixteen
326,2019,1181,75,win,Sweet Sixteen
6,2015,1459,53,loss,Round 1
327,2019,1246,62,win,Sweet Sixteen
308,2019,1459,56,loss,Round 2
328,2019,1277,80,win,Sweet Sixteen
219,2018,1460,47,loss,Round 1
329,2019,1403,75,win,Elite Eight
29,2015,1461,54,loss,Round 1
330,2019,1438,80,win,Elite Eight
53,2015,1462,60,loss,Sweet Sixteen
331,2019,1120,77,win,Elite Eight
119,2016,1462,63,loss,Round 2
332,2019,1277,68,win,Elite Eight
195,2017,1462,59,loss,Elite Eight
333,2019,1403,61,win,Final Four
247,2018,1462,70,loss,Round 2
334,2019,1438,63,win,Final Four
104,2016,1463,64,loss,Round 2
280,2019,1463,74,loss,Round 1
335,2019,1438,85,win,National Final